predicted,actual
2,2
2,0
8,8
2,2
6,5
1,1
4,2
2,2
1,1
4,2
2,2
1,2
1,1
1,1
2,2
1,1
2,0
4,3
3,4
2,1
2,2
3,3
3,3
3,3
3,3
2,3
4,4
0,1
1,1
3,4
3,3
3,5
2,2
no,yes
yes,yes
no,no
yes,no
no,no
no,no
no,no
yes,no
no,no
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
no,no
no,no
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
no,no
yes,yes
no,no
no,no
no,yes
yes,yes
no,yes
cylinder,cylinder
green,green
cube,cube
rubber,rubber
green,green
sphere,sphere
sphere,sphere
brown,yellow
yellow,green
cube,cube
yellow,yellow
red,red
yellow,yellow
rubber,rubber
sphere,sphere
yes,red
cylinder,cylinder
cube,cylinder
cylinder,cylinder
no,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
yes,metal
red,red
4,cylinder
yes,rubber
sphere,sphere
sphere,sphere
red,red
cube,cube
cyan,cyan
