predicted,actual,num_llm_calls
2,2,10
0,0,8
8,8,5
2,2,4
5,5,4
2,1,7
2,2,4
2,2,4
1,1,4
2,2,6
2,2,4
2,2,6
1,1,4
2,1,6
2,2,4
1,1,5
0,0,6
3,3,4
4,4,5
1,1,6
2,2,4
3,3,4
3,3,4
3,3,10
3,3,7
3,3,4
4,4,4
1,1,4
1,1,5
4,4,4
3,3,4
5,5,4
2,2,6
yes,yes,5
yes,yes,10
no,no,6
no,no,3
no,no,6
no,no,5
no,no,10
no,no,7
no,no,6
yes,yes,6
yes,yes,5
yes,yes,10
yes,yes,8
yes,yes,6
no,no,5
no,no,5
yes,yes,6
no,no,5
no,no,8
no,no,5
no,no,6
no,no,5
no,no,5
no,no,5
yes,yes,8
yes,yes,6
no,no,3
yes,yes,6
no,no,7
no,no,8
yes,yes,7
yes,yes,7
yes,yes,4
cylinder,cylinder,4
green,green,4
cube,cube,6
rubber,rubber,5
green,green,8
sphere,sphere,5
sphere,sphere,5
green,yellow,6
green,green,6
cube,cube,6
yellow,yellow,5
red,red,4
yellow,yellow,6
rubber,rubber,5
sphere,sphere,6
yes,red,5
cylinder,cylinder,5
cylinder,cylinder,7
small yellow rubber cube,cylinder,4
none,cube,4
sphere,sphere,6
blue,blue,5
sphere,sphere,6
green,green,6
purple,purple,5
yes,metal,7
red,red,6
no,cylinder,10
matte,rubber,5
sphere,sphere,6
sphere,sphere,4
red,red,4
cube,cube,5
cyan,cyan,4
