predicted,actual
2,2
3,0
8,8
2,2
5,5
3,1
2,2
2,2
1,1
3,2
2,2
2,2
1,1
2,1
2,2
1,1
0,0
3,3
4,4
0,1
2,2
3,3
3,3
3,3
0,3
3,3
4,4
0,1
1,1
4,4
3,3
5,5
2,2
yes,yes
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
no,no
no,no
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
no,no
yes,yes
no,no
no,no
yes,yes
yes,yes
yes,yes
cylinder,cylinder
green,green
cube,cube
rubber,rubber
green,green
sphere,sphere
sphere,sphere
brown,yellow
green,green
cube,cube
yellow,yellow
red,red
yellow,yellow
rubber,rubber
sphere,sphere
yes,red
cylinder,cylinder
cylinder,cylinder
purple metal cylinder,cylinder
no,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
yes,metal
red,red
no,cylinder
no,rubber
none,sphere
sphere,sphere
red,red
cube,cube
cyan,cyan
