predicted,actual
2,2
4,0
9,8
3,2
7,5
2,1
2,2
3,2
1,1
4,2
2,2
2,2
2,1
1,1
3,2
1,1
2,0
3,3
4,4
3,1
3,2
3,3
4,3
4,3
4,3
3,3
4,4
1,1
1,1
4,4
5,3
5,5
2,2
yes,yes
no,yes
no,no
no,no
no,no
no,no
no,no
yes,no
no,no
no,yes
Yes,yes
yes,yes
yes,yes
yes,yes
no,no
no,no
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
no,yes
no,no
yes,yes
yes,no
no,no
yes,yes
yes,yes
no,yes
cylinder,cylinder
"['cyan', 'green', 'red']",green
cube,cube
rubber,rubber
green,green
sphere,sphere
sphere,sphere
red,yellow
blue,green
sphere,cube
yellow,yellow
red,red
yellow,yellow
rubber,rubber
sphere,sphere
more red objects,red
cylinder,cylinder
cylinder,cylinder
sphere,cylinder
sphere,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
yes,metal
blue,red
small cylinders,cylinder
matte,rubber
sphere,sphere
sphere,sphere
red,red
cube,cube
cyan,cyan
