predicted,actual,num_llm_calls
3,2,4
0,0,6
9,8,8
2,2,5
5,5,5
3,1,7
2,2,4
2,2,4
1,1,5
2,2,6
2,2,3
2,2,6
1,1,3
2,1,5
2,2,4
1,1,6
2,0,2
4,3,4
3,4,3
2,1,2
2,2,4
3,3,5
3,3,5
3,3,5
0,3,2
3,3,3
6,4,4
4,1,7
1,1,4
4,4,5
6,3,3
5,5,4
2,2,3
yes,yes,7
yes,yes,9
no,no,6
no,no,5
no,no,5
no,no,4
no,no,5
no,no,4
no,no,2
yes,yes,4
yes,yes,7
yes,yes,6
yes,yes,3
yes,yes,7
no,no,3
no,no,2
yes,yes,3
no,no,3
no,no,7
no,no,3
no,no,3
no,no,3
no,no,8
no,no,2
yes,yes,2
yes,yes,5
no,no,2
yes,yes,3
no,no,6
no,no,3
yes,yes,6
yes,yes,3
yes,yes,3
cylinder,cylinder,5
green,green,3
cube,cube,9
rubber,rubber,4
green,green,4
sphere,sphere,5
sphere,sphere,4
none,yellow,13
green,green,8
cube,cube,4
yellow,yellow,5
red,red,3
yellow,yellow,3
rubber,rubber,2
sphere,sphere,4
yes,red,5
cylinder,cylinder,4
cylinder,cylinder,4
yellow rubber small cube,cylinder,9
no,cube,2
sphere,sphere,7
blue,blue,7
sphere,sphere,4
green,green,4
purple,purple,4
yes,metal,8
red,red,5
no,cylinder,3
no,rubber,6
sphere,sphere,5
sphere,sphere,4
blue,red,4
cube,cube,6
cyan,cyan,9
