predicted,actual
2,2
no,0
9,8
2,2
4,5
2,1
2,2
2,2
1,1
2,2
2,2
1,2
1,1
2,1
2,2
1,1
1,0
3,3
4,4
1,1
2,2
3,3
3,3
3,3
0,3
3,3
4,4
1,1
1,1
4,4
7,3
5,5
2,2
no,yes
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
no,no
no,no
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
no,no
yes,yes
no,no
no,no
yes,yes
yes,yes
yes,yes
cylinder,cylinder
green,green
cube,cube
rubber,rubber
green,green
sphere,sphere
sphere,sphere
purple,yellow
green,green
cube,cube
yellow,yellow
red,red
yellow,yellow
rubber,rubber
sphere,sphere
red,red
cylinder,cylinder
cylinder,cylinder
cube,cylinder
no,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
yes,metal
red,red
yes,cylinder
no,rubber
sphere,sphere
sphere,sphere
blue,red
cube,cube
cyan,cyan
