predicted,actual
3,2
3,0
9,8
2,2
7,5
0,1
3,2
3,2
1,1
2,2
2,2
1,2
1,1
3,1
2,2
1,1
1,0
3,3
4,4
1,1
4,2
3,3
3,3
2,3
5,3
3,3
4,4
0,1
1,1
4,4
3,3
6,5
2,2
no,yes
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
yes,no
yes,yes
yes,yes
yes,yes
yes,yes
no,yes
no,no
no,no
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
no,no
yes,yes
no,no
no,no
yes,yes
yes,yes
yes,yes
cylinder,cylinder
green,green
cube,cube
rubber,rubber
green,green
sphere,sphere
sphere,sphere
brown,yellow
blue,green
cube,cube
yellow,yellow
red,red
yellow,yellow
rubber,rubber
sphere,sphere
no,red
cylinder,cylinder
cube,cylinder
cube,cylinder
no,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
yes,metal
red,red
no,cylinder
no,rubber
sphere,sphere
sphere,sphere
blue,red
cube,cube
cyan,cyan
