predicted,actual
2,2
1,0
8,8
2,2
5,5
1,1
2,2
2,2
1,1
2,2
2,2
2,2
1,1
1,1
2,2
1,1
1,0
3,3
4,4
2,1
2,2
4,3
3,3
3,3
4,3
3,3
5,4
5,1
1,1
3,4
2,3
4,5
2,2
"{'metal': 6, 'rubber': 4}",yes
yes,yes
no,no
yes,no
no,no
no,no
no,no
yes,no
no,no
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,no
no,no
yes,yes
yes,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
no,no
yes,yes
no,no
no,no
yes,yes
yes,yes
yes,yes
cylinder,cylinder
cyan,green
cube,cube
metal,rubber
green,green
sphere,sphere
sphere,sphere
brown,yellow
"['green', 'yellow']",green
cube,cube
yellow,yellow
red,red
"['yellow', 'green']",yellow
rubber,rubber
spheres,sphere
yes,red
cylinder,cylinder
cylinder,cylinder
"small, yellow, rubber cube",cylinder
no,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
yes,metal
red,red
equal,cylinder
no,rubber
sphere,sphere
sphere,sphere
red,red
cube,cube
cyan,cyan
