predicted,actual,num_llm_calls
2,2,2
0,0,2
8,8,2
2,2,2
5,5,2
2,1,2
2,2,2
2,2,2
1,1,2
2,2,5
2,2,2
4,2,2
1,1,2
2,1,3
2,2,2
1,1,5
2,0,3
3,3,2
4,4,2
1,1,2
2,2,2
3,3,2
3,3,2
3,3,2
6,3,2
3,3,2
4,4,2
1,1,2
1,1,2
4,4,2
6,3,2
5,5,2
2,2,2
yes,yes,2
yes,yes,3
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,yes,2
yes,yes,2
yes,yes,2
yes,yes,2
yes,yes,2
no,no,2
no,no,2
yes,yes,2
no,no,2
no,no,3
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
yes,yes,2
yes,yes,2
no,no,2
yes,yes,2
no,no,2
no,no,2
yes,yes,2
yes,yes,2
yes,yes,2
cylinder,cylinder,3
green,green,3
cube,cube,3
rubber,rubber,3
green,green,3
sphere,sphere,3
sphere,sphere,3
brown,yellow,14
green,green,3
cube,cube,3
yellow,yellow,3
red,red,3
yellow,yellow,3
metal,rubber,7
sphere,sphere,4
4,red,2
cylinder,cylinder,3
cylinder,cylinder,5
cube,cylinder,4
cube,cube,3
sphere,sphere,4
blue,blue,4
sphere,sphere,3
green,green,3
purple,purple,3
yes,metal,2
red,red,6
no,cylinder,2
yes,rubber,2
sphere,sphere,3
sphere,sphere,3
red,red,4
cube,cube,3
cyan,cyan,3
