predicted,actual
2,2
2,0
9,8
3,2
6,5
1,1
2,2
2,2
1,1
2,2
2,2
1,2
1,1
2,1
2,2
2,1
2,0
2,3
4,4
1,1
2,2
3,3
3,3
2,3
0,3
3,3
5,4
1,1
1,1
4,4
1,3
5,5
2,2
no,yes
yes,yes
no,no
yes,no
no,no
no,no
yes,no
no,no
no,no
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
no,no
no,no
yes,yes
no,no
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
yes,yes
no,no
yes,yes
no,no
no,no
yes,yes
yes,yes
yes,yes
cylinder,cylinder
cyan,green
cube,cube
metal,rubber
green,green
sphere,sphere
sphere,sphere
brown,yellow
green,green
cube,cube
yellow,yellow
red,red
yellow,yellow
rubber,rubber
sphere,sphere
yes,red
cylinder,cylinder
cylinder,cylinder
cube,cylinder
cube,cube
sphere,sphere
blue,blue
sphere,sphere
green,green
purple,purple
yes,metal
red,red
yes,cylinder
no,rubber
sphere,sphere
sphere,sphere
blue,red
cube,cube
"['yellow', 'blue']",cyan
