predicted,actual,num_llm_calls
2,2,2
2,0,20
8,8,20
2,2,20
3,5,20
3,1,20
2,2,20
2,2,20
1,1,17
2,2,20
2,2,20
2,2,20
1,1,10
2,1,10
2,2,12
1,1,16
1,0,20
3,3,3
3,4,5
1,1,13
3,2,13
3,3,20
3,3,11
3,3,12
0,3,5
0,3,3
4,4,9
1,1,19
1,1,15
4,4,12
6,3,20
5,5,5
2,2,20
yes,yes,4
yes,yes,20
no,no,20
yes,no,21
no,no,16
no,no,20
no,no,20
no,no,20
no,no,20
yes,yes,19
yes,yes,13
yes,yes,20
yes,yes,20
yes,yes,7
no,no,9
no,no,20
yes,yes,6
no,no,20
no,no,20
no,no,11
no,no,20
no,no,20
no,no,10
no,no,20
yes,yes,20
yes,yes,20
no,no,3
yes,yes,20
no,no,17
no,no,20
yes,yes,20
yes,yes,14
yes,yes,20
cylinder,cylinder,5
green,green,20
cube,cube,20
rubber,rubber,9
green,green,20
sphere,sphere,10
sphere,sphere,12
red,yellow,4
yellow,green,20
cube,cube,20
yellow,yellow,11
red,red,20
yellow,yellow,20
rubber,rubber,13
sphere,sphere,18
yes,red,20
cylinder,cylinder,20
cylinder,cylinder,14
purple metal cylinder,cylinder,20
no,cube,4
sphere,sphere,10
blue,blue,20
sphere,sphere,20
green,green,6
purple,purple,20
yes,metal,20
red,red,20
small spheres,cylinder,20
no,rubber,11
sphere,sphere,15
sphere,sphere,17
blue,red,20
cube,cube,20
cyan,cyan,20
