predicted,actual,num_llm_calls
2,2,2
0,0,2
1,8,2
2,2,2
5,5,2
2,1,2
2,2,2
2,2,2
1,1,2
2,2,2
0,2,2
2,2,2
1,1,7
2,1,2
2,2,2
1,1,2
0,0,2
3,3,2
4,4,2
1,1,2
2,2,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
4,4,2
1,1,2
1,1,2
4,4,2
3,3,2
5,5,2
2,2,2
yes,yes,2
yes,yes,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,yes,2
yes,yes,2
yes,yes,2
yes,yes,2
yes,yes,2
no,no,2
no,no,2
yes,yes,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,no,2
no,yes,2
yes,yes,2
no,no,2
yes,yes,2
no,no,2
no,no,2
yes,yes,2
yes,yes,2
yes,yes,2
cylinder,cylinder,4
green,green,3
cube,cube,3
rubber,rubber,3
green,green,6
sphere,sphere,3
sphere,sphere,5
purple,yellow,3
green,green,5
cube,cube,5
yellow,yellow,3
red,red,3
yellow,yellow,3
rubber,rubber,6
sphere,sphere,3
yes,red,2
cylinder,cylinder,4
cylinder,cylinder,11
cube,cylinder,4
cube,cube,3
sphere,sphere,3
blue,blue,3
sphere,sphere,3
green,green,4
purple,purple,3
yes,metal,2
red,red,4
no,cylinder,2
no,rubber,2
sphere,sphere,3
sphere,sphere,3
red,red,3
cube,cube,4
cyan,cyan,3
