predicted,actual,num_llm_calls
2,2,11
0,0,5
8,8,6
2,2,5
5,5,5
2,1,5
2,2,5
2,2,5
1,1,2
2,2,20
2,2,5
2,2,5
1,1,5
2,1,6
2,2,4
1,1,5
0,0,15
3,3,5
4,4,5
1,1,10
2,2,4
3,3,5
3,3,5
3,3,6
3,3,5
3,3,5
4,4,5
1,1,5
1,1,5
4,4,5
6,3,6
5,5,5
2,2,5
yes,yes,6
no,yes,14
no,no,7
no,no,4
no,no,6
no,no,5
no,no,7
no,no,7
no,no,5
yes,yes,6
yes,yes,5
yes,yes,6
yes,yes,8
yes,yes,7
no,no,4
no,no,6
yes,yes,6
no,no,6
no,no,9
no,no,5
no,no,6
no,no,4
no,no,4
no,no,6
yes,yes,6
yes,yes,6
no,no,3
yes,yes,6
no,no,6
no,no,7
yes,yes,8
yes,yes,6
yes,yes,4
cylinder,cylinder,5
green,green,5
cube,cube,5
rubber,rubber,6
green,green,8
sphere,sphere,5
sphere,sphere,5
green,yellow,6
green,green,6
cube,cube,7
yellow,yellow,5
red,red,5
yellow,yellow,6
rubber,rubber,5
sphere,sphere,6
red,red,6
cylinder,cylinder,5
cylinder,cylinder,10
cylinder,cylinder,5
,cube,4
sphere,sphere,7
blue,blue,5
sphere,sphere,6
green,green,5
purple,purple,6
metallic,metal,7
red,red,6
no,cylinder,6
no,rubber,6
sphere,sphere,8
sphere,sphere,5
blue,red,7
cube,cube,5
red,cyan,5
